Республика Адыгея,,
,Региональное общественное благотворительное движение &#8220;Большая Медведица&#8221;,"Комплексная поддержка детей-инвалидов, детей сотрудников и военнослужащих, погибших при исполнении воинского и служебного долга  &#8220;Целевая социальная программа &#8220;Большая Медведица&#8221; № заявки: 40",
,Санкт-Петербургская благотворительная общественная организация помощи детям-инвалидам &#8220;Умка&#8221;,Социальная и психологическая поддержка детей инвалидов и детей-сирот детского хосписа &#8220;Целевая социальная программа &#8220;Умка&#8221; № заявки: 42,
,Санкт-Петебургская общественная организация инвалидов и пенсионеров &#8220;Санкт-Петербургский Еврейский Благотворительный Центр &#8220;Забота-Хэсэд Авраам&#8221;,Создание волонтерских групп для оказания социальной помощи пожилым жителям на базе социально-досуговых отделений районных центров социального обслуживания населения &#8220;Волонтеры для города&#8221; № заявки: 100,950.319
,Фонд гуманитарной помощи жителям Санкт-Петербурга,"Социальная поддержка и реабилитация инвалидов военной службы, сотрудников правоохранительных органов, потерявших трудоспособность при исполнении служебного долга № заявки: 131",
,Санкт-Петербургская региональная общественная благотворительная организация &#8220;Благотворительное  Медицинское Общество &#8221; Помощь&#8221;,Организация бесплатных кружков самодеятельного художественного творчества для детей-инвалидов &#8220;Навстречу звездам&#8221; № заявки: 158,
,Санкт-Петербургская общественная организация по гармоничному развитию семьи и личности &#8220;Центр &#8220;РАДОМИРА&#8221;,"Оказание помощи семьям, усыновившим детей &#8220;Быть вместе&#8221; № заявки: 178",769.500
,Общественный Фонд &#8220;Санкт-Петербургский Фонд социально-экономических программ&#8221;,Оказание помощи малоимущим семьям &#8220;Барс&#8221; № заявки: 183,
,Учреждение реабилитации инвалидов &#8220;Завод &#8220;Воздушный замок&#8221;,Создание рабочих мест для инвалидов № заявки: 290,600 тыс.
,Санкт-Петербургская общественная организация &#8220;Врачи Детям&#8221;,Создание центра социально-психологической помощи для беспризорных и безнадзорных детей № заявки: 304,800 тыс.
,Санкт-Петербургский Общественный Благотворительный Фонд &#8220;Родительский мост&#8221;,Проект по организации помощи семьям в кризисной ситуации с малолетними детьми  &#8220;ОТ ОТЧАЯНИЯ К НАДЕЖДЕ&#8221; № заявки: 330,
,"Фонд помощи Больнице Святой Евгении - лечебно - диагностическому, реабилитационному и научному центру для жителей блокадного Ленинграда, блокадникам и их потомкам.",Помощь блокадникам - наш долг перед ними № заявки: 418,
,Региональный общественный благотворительный Фонд социальной реабилитации и помощи инвалидам &#8220;Кедр&#8221;,Оказание помощи в приобретении  специальности инвалидами - &#8220;Школа семейного мастерства&#8221;. № заявки: 439,845 тыс.
,Санкт-Петербургская общественная благотворительная организация &#8220;Покровская община&#8221;,&#8220;Дом милосердия для одиноких престарелых граждан и бездомных инвалидов&#8221; № заявки: 448,300 тыс.
,Некоммерческое партнерство Центр социальной помощи&#8221;Доверие&#8221;,"Комплекс мероприятий по сохранению традиций, вовлечению молодежи  в сферу оказания помощи лицам старшего и пожилого возраста - &#8220;Хранители&#8221; № заявки: 452",217.767
,"Санкт-Петербургская региональная общественная организация инвалидов, ветеранов, блокадников &#8220;Бабушки и дедушки&#8221;",Создание условий увеличения продолжительности  жизни человека - &#8220;Берегите старость&#8221; № заявки: 457,597.600
,Региональная общественная организация &#8220;Адаин ЛО&#8221;,Повышение качества жизни детей-инвалидов и детей из малообеспеченных семей - &#8220;Дорогу осилит идущий&#8221; № заявки: 460,627.017
,Автономная некоммерческая благотворительная организация&#8221; Оздоровительный конный центр &#8220;Солнечный остров&#8221;,Социальная реабилитация детей-инвалидов &#8220;Реабилитация детей -инвалидов из детских домов и интернатов с использованием иппотерапии&#8221; № заявки: 501,
,Региональная общественная организация инвалидов &#8221; Санкт-Петербургская  Лига жизненной помощи людям с проблемами развития&#8221;,"&#8220;Мини мастерские для людей с особенностями умственного развития: обучение, трудовая занятость, социальная интеграция&#8221; № заявки: 548",
,Благотворительный фонд помощи детям &#8220;Теплый дом&#8221;,&#8220;Тренинговый центр поддержки и активизации семьи&#8221; № заявки: 552,
,Негосударственное  образовательное учреждение дополнительного образования &#8220;Институт психотерапии и консультирования  &#8220;ГАРМОНИЯ&#8221;,Улучшение качества жизни пожилых людей (психологическая поддержка и сопровождение работы) № заявки: 686,404.482
Ленинградская область,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Центр прикладных социальных исследований &#8220;Эйдос&#8221;,Сохранение и укрепление семейных ценностей и статуса семьи как основы общества - &#8220;Крепка семья - Крепка держава&#8221; № заявки: 547,933.138
,Ленинградская областная Ассоциация  общественных объединений ветеранов,"&#8220;Ветеранское подворье 2008&#8243; - областной смотр-конкурс в рамках мероприятий , посвященных  Международному дню пожилых людей № заявки: 668",250 тыс.
Ивановская область,,
,Организация,Проект,"Сумма, руб."
,Ивановская областная организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,&#8220;&#8221;Программа комплексной реабилитации инвалидов&#8221; № заявки: 122,986.980
,"Ивановское региональное отделение Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов","Обеспечение ветеранов и пенсионеров, утративших частично или полностью способность к самообслуживанию, средствами ухода № заявки: 201",
,Ивановское областное отделение общероссийского общественного благотворительного фонда &#8220;Российский детский фонд&#8221;,"&#8220;Поддержка детей, отцы которых погибли в &#8220;горячих точках&#8221; - &#8220;Отец года&#8221; № заявки: 207",600 тыс.
,Ивановская областная организация общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,&#8220;Группа первичной реабилитации инвалидов 1 и 2 групп по зрению Ивановской области&#8221; № заявки: 210,380.400
,Ивановская областная организация Общероссийской общественной организации инвалидов &#8220;Всероссийское общество глухих&#8221;,Оказание помощи  инвалидам в приобретении профессии &#8220;Наши годы как птицы летят&#8221; № заявки: 215,800 тыс.
,Ивановская областная общественная организация инвалидов с детства &#8220;Солнышко&#8221;,Создание условий для совершенствования производственных навыков - &#8220;Ступеньки к общей жизни&#8221; № заявки: 615,450.399
,"Ивановская областная Общественная Организация &#8220;Общественный комитет защиты детства, семьи и нравственности&#8221;",Кризисный центр для женщин &#8220;Колыбель&#8221; № заявки: 350,
,Автономная некоммерческая организация &#8220;Центр спортивных инноваций&#8221;,&#8220;Создание спортивного реабилитационного центра для людей с ограниченными возможностями&#8221; № заявки: 640,
Иркутская область,,
,Организация,Проект,"Сумма, руб."
,&#8220;Надежда и жизнь&#8221; Некоммерческая организация Благотворительный фонд,"Поддержка малоимущих семей, где имеются тяжелые лежачие больные -&#8221;Уроки помощи&#8221; № заявки: 498",130 тыс.
,Автономная некоммерческая организация &#8220;Центр подготовки лечебных педагогов и социальных терапевтов &#8220;Мария&#8221;,Создание центров медицинской помощи для решения социально-адаптационных вопросов - &#8220;Рука в руку&#8221; № заявки: 695,112.066
,"Фонд поддержки несовершеннолетних и совершеннолетних узников фашистских концлагерей и гетто, ветеранов войны и тыла, блокадников Ленинграда и их детей &#8220;Тихие зори&#8221;",Оказание социальной помощи  бывшим узникам концлагерей - &#8220;А жизнь продолжается&#8230;&#8221; № заявки: 533,399.924
,Ангарская общественная организация инвалидов &#8220;ФЕНИКС&#8221;,"&#8220;Надежда - наш компас земной, а удача награда за смелость&#8221; Создание услуг для инвалидов и инвалидов-детства, сирот, находящихся в детском исправительном учреждении. № заявки: 51",747.848
,Иркутская городская общественная организация инвалидов &#8220;Прибайкальский исток&#8221;,"&#8220;Создание групп взаимопомощи для молодых инвалидов, проживающих в селе&#8221; № заявки: 240",880.060
Калининградская область,,
,Организация,Проект,"Сумма, руб."
,Калининградское региональное отделение общероссийской общественной организации &#8220;Ассоциация  молодых инвалидов России &#8220;АППАРЕЛЬ&#8221;,Создание регионального  Агентства по содействию временной и постоянной занятости людей с инвалидностью № заявки: 345,
,Калининградская региональная общественная организация  Агентство поддержки культурных инициатив &#8220;Транзит&#8221;,Одинаковое небо: реабилитация молодежи с ограниченными возможностями творческими средствами № заявки: 478,470.384
Калужская область,,
,Организация,Проект,"Сумма, руб."
,Фонд развития физической культуры и спорта имени олимпийского чемпиона  Александра Савина,Выявление одаренных детей среди воспитанников детских домов и школ - интернатов для занятия профессиональным спортом № заявки: 62,
,"Калужское региональное отделение Всероссийской общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов","Оказание социальной поддержки ветеранам в трудной жизненной ситуации, их переподготовка, активизация  участия в военно-патриотическом воспитании молодежи &#8220;Развитие ветеранского движения Калужской области&#8221; № заявки: 26",600 тыс.
,Общественная организация &#8220;Калужская региональная общественная организация &#8220;Областное отделение Союза бывших узников фашистских концлагерей&#8221;,Оказание материальной помощи  бывшим узникам  фашистских концлагерей - &#8220;Милосердие в действии&#8221; № заявки: 551,
Кемеровская область,,
,Организация,Проект,"Сумма, руб."
,Кемеровское областное отделение Общероссийского общественного движения женщин России,Организация работы мультипрофессиональной команды для профилактики домашнего насилия в отношении малообеспеченных женщин пенсионного возраста &#8220;В помощь бабушке&#8221; № заявки: 239,663.620
,Киселевское городское отделение общероссийской Общественной организации &#8220;Российский Союз ветеранов Афганистана&#8221;,"Поддержка, социализация и патриотическое воспитание подростков из малообеспеченных семей &#8220;Спортивно-техническая Школа жизни&#8221; № заявки: 238",547.808
,"Междуреченская городская общественная организация пенсионеров ликвидированных предприятий торговли, общественного питания и службы быта  Междуреченскуголь.",Оказание помощи малоимущим пенсионерам ликвидированных предприятий торговли путем их вовлечения в проведение совместных культурно-досуговых мероприятий &#8220;За жизнь активную&#8221; № заявки: 48,64.520
,Кемеровская областная организация Общероссийской общественной организации инвалидов &#8220;Всероссийское Ордена Трудового Красного Знамени общество слепых&#8221;,&#8220;Ликвидация компьютерной безграмотности инвалидов по зрению Кемеровской области&#8221; № заявки: 66,
,Междуреченская городская общественная организация жертв незаконных политических репрессий &#8220;Надежда&#8221;,Социальная поддержка инвалидов -  жертв политических репрессий &#8220;Чтобы помнили &#8230;&#8221; № заявки: 252,351 тыс.
,Кемеровское областное отделение Общероссийского общественного благотворительного фонда  &#8220;Российский детский фонд&#8221;,"&#8220;Где ты, мама?&#8221; - развитие  и поддержка семейных форм устройства детей-сирот в  Кемеровской области № заявки: 669",
Кировская область,,
,Организация,Проект,"Сумма, руб."
,Некоммерческая организация  &#8220;Фонд Вятский бизнес-инкубатор&#8221;,Социальный инкубатор - поддержка проектов в решении социальных проблем общества № заявки: 620,700 тыс.
,Ассоциация &#8220;Совет муниципальных образований Кировской области&#8221;,"Апробирование и внедрение эффективных моделей реализации муниципальных социальных программ, разработка аналитических инструментов их планирования - Фонд &#8220;Технологии социального партнерства&#8221; № заявки: 706",400 тыс.
,Кировская областная организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221; (ВОИ),Повышение качества работы  по социальной защите инвалидов районных организаций Кировской областной организации общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;  через компьютерные технологии № заявки: 194,
Костромская область,,
,Организация,Проект,"Сумма, руб."
,Костромская городская общественная организация &#8220;Совет Матерей&#8221;,"Социальная и психологическая поддержка граждан, потерявших кормильца &#8220;Информационный поиск данных о погибших сыновьях &#8220;Возвращение&#8221; № заявки: 70",500 тыс.
,Костромское областное отделение Общероссийской общественной организации &#8220;Российский Красный Крест&#8221;,Оказание материальной помощи малоимущим семьям -&#8221; Помогите детям&#8221; № заявки: 637,755 тыс.
,Костромская региональная общественная организация Общероссийской общественной организации инвалидов &#8220;Всероссийское Ордена Трудового Красного Знамени общества слепых&#8221;,&#8220;Создание на  территории Костромской области сети кабинетов реабилитации для инвалидов по зрению&#8221; № заявки: 332,323.983
,Костромское региональное отделение Общероссийской общественной организации инвалидов &#8220;Всероссийское общества глухих&#8221;,Творческий телемарафон семей инвалидов с нарушением слуха &#8220;Мелодия души&#8221; № заявки: 338,190.140
,Костромская областная общественная организация Российского Союза Молодежи,Создание условий  для приобретения детьми социально незащищенной категории знаний и навыков для полноценной жизни в современном обществе -&#8221;Континент &#8220;Достижения&#8221; № заявки: 403,134.530
Курганская область,,
,Организация,Проект,"Сумма, руб."
,"Курганская областная общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов","Социальное обслуживание на дому одиноких инвалидов , совершенствование системы их социальной поддержки, создание структуры бесплатной правовой помощи &#8220;Поддержка и социальное  обслуживание  малоимущих и социально незащищенных граждан&#8221; № заявки: 18",250 тыс.
,Общественное объединение Общественный фонд Курганской области  &#8220;Русское возрождение&#8221;,Твой путь в герои - программа воспитания детей и молодежи № заявки: 707,59 тыс.
Курская область,,
,Организация,Проект,"Сумма, руб."
,Курская областная организация Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,&#8220;Комплексная реабилитация инвалидов по зрению Курской области&#8221; № заявки: 7,859.931
,"Курский городской фонд содействия социальной адаптации сотрудников правоохранительных структур, уволенных в запас или отставку &#8220;Содействие&#8221;",&#8220;Организация социальной адаптации бывших сотрудников правоохранительных органов в Курской области&#8221; № заявки: 184,
,Учреждение &#8220;Железногорский социально-трудовой комплекс инвалидов &#8220;Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;.,"&#8220;Создание центра профессиональной подготовки инвалидов, оказание помощи в  лечении &#8220;Равные права, равные возможности&#8221; № заявки: 223",672.166
,Курская областная организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221; (ВОИ),&#8220;Проект по социальной помощи малоимущим&#8221; № заявки: 224,600 тыс.
Липецкая область,,
,Организация,Проект,"Сумма, руб."
,Липецкая региональная организация Общероссийской общественной организации инвалидов войны в Афганистане,"&#8220;Интеграция инвалидов войны, членов их семей и семей погибших военнослужащих   в общество через участие в культурно-спортивной и общественной жизни области&#8221; № заявки: 92",800 тыс.
Магаданская область,,
,Организация,Проект,"Сумма, руб."
,"Магаданская областная общественная организация Всероссийской общественной организации ветеранов (пенсионеров) войны, труда , Вооруженных Сил и правоохранительных органов","Решение социальных вопросов малоимущих и социально незащищенных категорий граждан путем приобретения продуктовых наборов, реабилитационного оборудования и косметического ремонта квартир № заявки: 442",360.100
Московская область,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Детский пансион в селе Мышкино семейного типа &#8220;Павлин&#8221;,Совершенствование материальной базы трудового воспитания и профессиональной ориентации подростков из малообеспеченных и неполных семей &#8220;Труд - это жизнь! Не бойся жизни !&#8221; № заявки: 34,500 тыс.
,Негосударственное учреждение социального обслуживания &#8220;Православный детский социально-реабилитационный центр &#8220;ПОКРОВ&#8221;,"&#8220;Помощь семьям, находящимся в социально опасном положении&#8221; № заявки: 35",400 тыс.
,Московская областная общественная организация &#8220;Подмосковье&#8221; Общероссийской общественной организации  инвалидов войны в  Афганистане,&#8220;Они сражались за Родину&#8221; Оказание помощи инвалидам войны в Афганистане № заявки: 129,600 тыс.
,Общественный фонд &#8221; Фонд культурных инициатив&#8221; Московской области,&#8220;Создание специализированных юридических консультаций для оказания бесплатной юридической помощи малоимущим гражданам&#8221; № заявки: 266,
,Некоммерческая организация Московский областной фонд содействия Вооруженным Силам,&#8220;Создание системы информационно-правового обеспечения ветеранских организаций Московской области&#8221; № заявки: 281,
,Местная  православная религиозная организация прихода Успенской церкви города Видное Московской области,"Проект развития Комплекса дневного пребывания детей и подростков, находящихся в социально опасном положении или сложной жизненной ситуации, &#8220;Город радости&#8221; на  территории Успенской церкви г. Видное № заявки: 479",900 тыс.
,Автономная некоммерческая организация  Центр творческого развития  &#8220;Старт&#8221;,"&#8220;Твой мир - мой мир&#8221; цикл творческих занятий, направленных на интеграцию в общество  детей-сирот, детей, оставшихся без попечения родителей, и детей с ограниченными возможностями № заявки: 519",903.696
,Орехово-Зуевское отделение Московской областной общественной организации Общероссийской общественной организации  инвалидов войны в Афганистане,&#8220;Социальные перевозки&#8221; (бесплатные перевозки инвалидов для решения своих социальных нужд) № заявки: 528,990.377
,Местная немецкая национально-культурная автономия г. Железнодорожный  Московской области,&#8220;Оказание услуг инвалидам и лицам с ограниченными физическими  возможностями в области их обучения и последующего трудоустройства&#8221; № заявки: 234,998.573
Мурманская область,,
,Организация,Проект,"Сумма, руб."
,Мурманская региональная общественная организация &#8220;ЛОТОС&#8221;,"Психологическая и правовая помощь  семьям (родителям) подростков, находящихся в социально опасном положении &#8220;Общественная приемная&#8221; № заявки: 32",918.780
,Оленегорская городская организация Мурманской областной организации общероссийской общественной организации &#8220;Всероссийское общество инвалидов &#8220;,"Санаторно-курортное лечение детей-инвалидов, проживающих в районах крайнего Севера в летнее время года № заявки: 123",624 тыс.
,Мурманское региональное отделение Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,Оказание помощи инвалидам по зрению в приобретении специальной литературы &#8220;Понять и помочь! № заявки: 356,"303,535"
,Общественная организация &#8220;Социально-благотворительный клуб родителей и детей-инвалидов &#8220;Надежда&#8221;,Социально-трудовая реабилитация инвалидов молодого возраста № заявки: 375,"491,231"
Нижегородская область,,
,Организация,Проект,"Сумма, руб."
,Нижегородская региональная благотворительная общественная организация инвалидов &#8220;Забота&#8221;,&#8220;Центр профессиональной опеки и интеграции инвалидов&#8221; № заявки: 398,400 тыс.
,"Нижегородская  региональная общественная организация  культурно, социально-трудовой реабилитации  инвалидов опорников и колясочников &#8220;Инватур&#8221;",Оказание помощи инвалидам в социально-трудовой реабилитации - &#8220;К независимой жизни&#8221; № заявки: 481,
,Нижегородское областное отделение Общероссийского общественного движения женщин России,Программа по защите прав и защите свобод человека &#8220;Семья без насилия - будущее России&#8221; № заявки: 654,
,Некоммерческое партнерство &#8220;Новые социальные технологии &#8220;Достойная старость&#8221;,"Решение проблем студентов-инвалидов, путем вовлечения их в сферу социально-активной жизнедеятельности, тем самым решить их социально-психологические проблемы - &#8220;Счастье в возможности&#8221; № заявки: 672",143.880
,Нижегородская областная общественная организация  &#8220;Семейный центр &#8220;Лада&#8221;,"&#8220;Добрый Дедушка Мороз&#8221; - формирование группы добровольцев для помощи семьям, воспитывающим  детей с ограниченными возможностями. № заявки: 683",99.310
,Нижегородский региональный общественный фонд социальной адаптации ветеранов боевых действий &#8220;Ратник&#8221;,Культурно-патриотическая акция &#8220;Вечера памяти&#8221; &#8220;Помяни нас Россия&#8221; № заявки: 367,600 тыс.
,Межрегиональная общественная организация инвалидов &#8220;Социальная реабилитация&#8221;,&#8221; Школа профессионального развития инвалидов&#8221; № заявки: 386,
,Нижегородская Региональная общественная организация родителей детей-инвалидов по зрению &#8220;Перспектива&#8221;,Комплексная поддержка слепых и слабовидящих детей при получении интегрированного образования № заявки: 319,418.642
,Региональная общественная организация &#8220;Нижегородский совет женщин&#8221;,Оказание помощи малоимущим гражданам села &#8220;Стратегия успеха сельской семьи&#8221; № заявки: 326,964.160
Новгородская область,,
,Организация,Проект,"Сумма, руб."
,Новгородская региональная организация  Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,&#8220;Надомный социально-реабилитационный патронаж недавно ослепших граждан&#8221; № заявки: 33,"416,514"
,Новгородское областное отделение Международного общественного фонда &#8220;Российский фонд мира&#8221;,"Профилактика социального сиротства путем адресной материальной, психологической, правовой помощи малоимущим семьям в социально опасном положении &#8220;Сохраним семью&#8221; № заявки: 53","606,113"
,Новгородское региональное общественное молодежное учреждение &#8220;Поколение ХХI&#8221;,"Социальная поддержка детей из многодетных, малообеспеченных семей № заявки: 431",983.540
Новосибирская область,,
,Организация,Проект,"Сумма, руб."
,Городская общественная организация инвалидов &#8220;Общество &#8220;ДАУН СИНДРОМ&#8221;,&#8220;Лучик надежды&#8221;- развитие службы ранней помощи семьям с детьми с синдромом Дауна от рождения до 7 лет&#8221; № заявки: 45,291.600
,Общественная организация  &#8220;Советская местная организация Всероссийского общества инвалидов&#8221;,Создание условий для групповых  занятий физической культурой  инвалидов &#8220;Мы стремимся вперед!&#8221; № заявки: 57,91.992
,Новосибирское областное отделение Общероссийской общественной организации &#8220;Российский Красный Крест&#8221;,&#8220;Приемная семья - эффективная модель жизнеустройства безнадзорных детей&#8221; № заявки: 161,413.998
,Общественная организация &#8220;Ленинская местная организация Всероссийского общества инвалидов&#8221;,Создание Центра профессиональной реабилитации инвалидов посредствам инновационных технологий № заявки: 318,972.866
,Общественная организация  &#8220;Новосибирская областная организация Всероссийского общества инвалидов&#8221;,Координационный центр первичной адаптации людей с ограниченными возможностями № заявки: 343,
,Некоммерческое партнерство &#8220;Международное Агентство Культурно-Социальной Работы&#8221;,Сохраним семью детям: поддержка одиноких матерей г. Новосибирска как профилактика отказов от ребенка № заявки: 400,403.170
,Новосибирская городская общественная организация &#8220;Центр развивающего образования &#8220;Умка&#8221;,Создание мобильного компьютерного класса № заявки: 556,559.458
,Бердская городская общественная организация &#8220;Женский совет г.Бердска &#8220;,"&#8220;Твори добро&#8221;, Создание развивающей среды в детском отделении МУЗ БЦГБ для обеспечения педагогического сопровождения детей- сирот, длительно находящихся в условиях стационара; создание информационного пространства, обеспечивающего пропаганду семейной формы жизни. № заявки: 55",156.860
Омская область,,
,Организация,Проект,"Сумма, руб."
,Омская областная организация  Общероссийской общественной организации  &#8220;Всероссийское общество инвалидов&#8221;,Разработка научно-методических рекомендаций по организации транспортного обслуживания инвалидов и маломобильных групп населения в крупных городах № заявки: 148,
,Омское региональное отделение Общероссийской общественной организации инвалидов &#8220;Всероссийское общество глухих&#8221;,Программа для родителей Омского регионального отделения Общероссийской общественной организации инвалидов &#8220;Всероссийского общества глухих&#8221; &#8220;Лучшее для детей&#8221; № заявки: 262,437.550
,Омская городская детская общественная организация &#8220;Оазис&#8221;,Единое пространство реабилитации подростков &#8220;Группы риска&#8221; &#8220;Территория заботы&#8221; № заявки: 219,445.047
